,College Education,Household Size > 2,Daily Commute < 5 Miles,Type,Fuel,Price,Speed,Pollution,Size
0,N,N,N,van,compressed natural gas,4.1753447999999995,95,0.6,mid-size/large
1,Y,Y,Y,van,methanol,3.3109468,85,0,mid-size/large
2,N,Y,N,regular car,gasoline,3.2821542999999997,95,0.75,mid-size/large
3,N,N,Y,regular car,electric,5.4600663,95,0.6,mid-size/large
4,N,Y,N,regular car,gasoline,4.690508,110,0.75,mid-size/large
5,N,N,N,truck,gasoline,4.8177056,110,0.5,mid-size/large
6,Y,Y,Y,van,methanol,1.9270822,100,0,compact
7,Y,N,Y,regular car,gasoline,5.2423324000000004,95,0.25,compact
8,N,N,N,sport utility vehicle,gasoline,4.0899555,85,0.25,compact
9,Y,N,N,truck,methanol,3.8017382000000004,85,0,compact
10,Y,N,N,regular car,methanol,4.1386835,55,0,mid-size/large
11,Y,Y,N,station wagon,methanol,3.3237360000000002,85,0,mid-size/large
12,Y,N,N,sport car,gasoline,7.3871485,95,1,compact
13,N,N,N,regular car,gasoline,0.96354111,95,0.75,mid-size/large
14,Y,N,N,regular car,electric,3.5868589999999996,140,0.6,compact
15,Y,N,N,regular car,gasoline,2.7591223,110,0.75,compact
16,Y,Y,Y,regular car,compressed natural gas,5.459319799999999,110,0.4,mid-size/large
17,N,N,N,truck,methanol,1.0224889000000001,85,0,mid-size/large
18,Y,Y,N,van,compressed natural gas,3.5868589999999996,85,0.4,mid-size/large
19,Y,N,Y,regular car,gasoline,4.4145957000000005,110,0.5,compact
20,N,Y,Y,regular car,gasoline,7.9408288,85,0.25,subcompact
21,Y,N,N,regular car,gasoline,4.3455777,110,0.25,compact
22,N,N,Y,regular car,gasoline,4.1386835,85,0.5,mid-size/large
23,Y,N,N,regular car,compressed natural gas,3.0350346,140,0.25,subcompact
24,Y,N,N,truck,methanol,7.0659681,65,0,mid-size/large
25,Y,N,Y,regular car,compressed natural gas,4.4145957000000005,85,0.25,compact
26,Y,N,N,regular car,gasoline,2.9936324,140,0.75,mid-size/large
27,N,N,N,truck,gasoline,1.4453117,85,1,compact
28,Y,N,Y,regular car,methanol,6.6218936,65,0,mid-size/large
29,Y,N,N,truck,compressed natural gas,4.4667162000000005,110,0.6,subcompact
30,Y,N,N,regular car,gasoline,6.102427,140,0.5,mid-size/large
31,N,N,N,regular car,gasoline,3.2821542999999997,110,0.75,mid-size/large
32,Y,Y,N,regular car,electric,3.0863263,140,0.4,mid-size/large
33,Y,N,Y,truck,methanol,4.8177056,85,0,compact
34,Y,N,N,regular car,gasoline,3.8343333,110,0.25,compact
35,Y,Y,Y,sport utility vehicle,compressed natural gas,5.806888400000001,140,0.4,mid-size/large
36,Y,N,Y,regular car,electric,3.0863263,110,0.75,mid-size/large
37,N,N,N,regular car,gasoline,2.8906232999999997,110,0.75,mid-size/large
38,N,N,N,regular car,electric,5.1388859,140,0.75,mid-size/large
39,N,Y,Y,truck,methanol,7.708328900000001,85,0,subcompact
40,Y,N,Y,regular car,compressed natural gas,3.2821542999999997,110,0.1,compact
41,Y,N,N,van,electric,0.8277367,140,0.75,mid-size/large
42,N,Y,N,regular car,compressed natural gas,4.1753447999999995,110,0.4,mid-size/large
43,N,N,N,regular car,gasoline,2.7772075000000003,110,0.25,subcompact
44,Y,N,Y,regular car,electric,4.0899555,85,0.4,mid-size/large
45,Y,N,N,regular car,gasoline,4.0899555,85,1,compact
46,Y,N,N,station wagon,gasoline,1.9270822,85,1,compact
47,Y,N,N,van,electric,2.8118444,140,0.6,mid-size/large
48,N,Y,Y,regular car,electric,3.3230888,85,0.4,mid-size/large
49,Y,N,Y,regular car,gasoline,2.2333581000000002,140,1,mid-size/large
50,N,Y,Y,regular car,electric,4.963018,95,0.4,mid-size/large
51,N,N,N,regular car,compressed natural gas,5.806888400000001,85,0.4,mid-size/large
52,Y,N,N,regular car,methanol,4.292047900000001,100,0,subcompact
53,Y,N,N,station wagon,methanol,3.8541644,85,0,mid-size/large
54,Y,N,N,regular car,compressed natural gas,3.7871010999999997,85,0.6,compact
55,Y,N,N,regular car,electric,6.4519234,85,0.4,mid-size/large
56,Y,Y,Y,van,compressed natural gas,1.2781111,95,0.6,mid-size/large
57,N,Y,N,van,electric,3.8343333,85,0.4,mid-size/large
58,N,Y,N,truck,gasoline,3.0350346,95,0.25,subcompact
59,Y,Y,Y,van,compressed natural gas,2.5247341,110,0.6,mid-size/large
60,N,N,Y,regular car,methanol,1.9852072,65,0,mid-size/large
61,Y,N,Y,van,compressed natural gas,1.2416049999999998,95,0.6,compact
62,Y,Y,N,regular car,gasoline,3.5868589999999996,140,0.75,compact
63,Y,N,N,regular car,gasoline,5.7941569,110,0.75,mid-size/large
64,Y,N,N,truck,electric,5.1388859,95,0.6,mid-size/large
65,Y,N,N,regular car,electric,3.5868589999999996,140,0.75,mid-size/large
66,Y,Y,N,truck,electric,5.2423324000000004,95,0.75,compact
67,N,N,N,truck,gasoline,3.2821542999999997,140,0.75,mid-size/large
68,N,Y,N,sport utility vehicle,gasoline,3.7871010999999997,85,0.5,compact
69,Y,N,N,regular car,gasoline,4.5107845,95,1,mid-size/large
70,Y,N,Y,regular car,electric,4.292047900000001,110,0.4,mid-size/large
71,Y,N,N,regular car,gasoline,4.6962648,110,0.5,compact
72,N,Y,N,sport utility vehicle,gasoline,4.5902363,85,0.25,compact
73,Y,N,N,regular car,gasoline,3.3230888,85,0.5,mid-size/large
74,N,N,N,truck,compressed natural gas,3.0350346,95,0.25,compact
75,Y,Y,N,regular car,gasoline,3.5329841,95,0.5,mid-size/large
76,Y,N,N,sport car,gasoline,8.309339900000001,110,1,compact
77,Y,N,Y,regular car,electric,8.4371306,110,0.75,mid-size/large
78,Y,Y,Y,van,methanol,6.0593618,85,0,compact
79,Y,N,Y,regular car,electric,3.7871010999999997,110,0.4,mid-size/large
80,N,N,Y,regular car,gasoline,2.8118444,95,0.25,subcompact
81,Y,N,Y,truck,gasoline,5.1388859,110,0.5,compact
82,Y,N,Y,regular car,gasoline,5.2423324000000004,85,0.25,compact
83,Y,N,N,regular car,gasoline,7.3871485,140,0.75,compact
84,Y,N,N,truck,gasoline,4.1386835,85,0.25,subcompact
85,Y,N,N,van,electric,8.8365693,110,0.6,mid-size/large
86,Y,Y,Y,regular car,electric,4.292047900000001,95,0.6,mid-size/large
87,N,N,N,truck,electric,4.1753447999999995,85,0.25,compact
88,Y,N,N,van,gasoline,3.5329841,85,1,compact
89,Y,Y,N,van,electric,5.7941569,95,0.4,mid-size/large
